表35、青年勞工初次尋職時選擇工作的考慮因素,,,,,,,─按性別、年齡、教育程度別分,,,,,,,
,,,,,中華民國,,97年10月,,,,,,,單位：人，%
項    目    別,樣 本 數,合計,"能學以致用
的工作","能學習到
知識技能",工作穩定性,,有發展前景,薪資及福利,通勤方便,"符合自己
興趣的工作",工作負擔較輕,有挑戰性 ,有升遷機會,其他
,,,能學以致用的工作,能學習到知識技能,工作穩定性,,有發展前景,待遇高,通勤方便,符合自己興趣的工作,工作負擔較輕,有挑戰性 ,有升遷機會,其他
,,,,,,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 25.93 , 38.21 , 41.12 ,, 26.59 , 55.04 , 30.95 , 33.42 , 5.35 , 8.13 , 10.53 , 3.16 
  性別,,,,,,,,,,,,,,
  男性," 1,995 ", 100.00 , 24.99 , 40.14 , 39.28 ,, 30.95 , 51.49 , 26.48 , 31.59 , 4.76 , 9.25 , 11.78 , 3.54 
  女性," 2,017 ", 100.00 , 26.86 , 36.29 , 42.94 ,, 22.28 , 58.55 , 35.37 , 35.23 , 5.93 , 7.01 , 9.28 , 2.79 
  年齡別    ,,,,,,,,,,,,,,
  15~19歲, 322 , 100.00 , 24.90 , 39.84 , 42.67 ,, 13.57 , 47.14 , 40.41 , 40.17 , 7.54 , 7.19 , 6.61 , 3.87 
  20~24歲," 1,267 ", 100.00 , 25.42 , 34.16 , 42.75 ,, 23.10 , 52.18 , 34.88 , 34.25 , 5.82 , 9.03 , 9.92 , 3.42 
  25~29歲," 2,423 ", 100.00 , 26.33 , 40.11 , 40.06 ,, 30.14 , 57.58 , 27.64 , 32.09 , 4.82 , 7.78 , 11.36 , 2.94 
  教育程度別,,,,,,,,,,,,,,
  國中及以下, 244 , 100.00 , 18.67 , 39.74 , 49.61 ,, 15.32 , 47.87 , 37.05 , 34.60 , 7.13 , 5.57 , 5.61 , 6.24 
  高中(職)," 1,276 ", 100.00 , 19.89 , 33.51 , 47.01 ,, 19.53 , 54.11 , 36.41 , 31.89 , 7.11 , 7.28 , 10.21 , 4.20 
  專科, 643 , 100.00 , 24.29 , 35.99 , 45.36 ,, 28.02 , 57.57 , 30.14 , 28.71 , 4.93 , 7.30 , 12.33 , 3.37 
  大學," 1,627 ", 100.00 , 30.86 , 42.03 , 36.05 ,, 30.89 , 55.79 , 28.36 , 34.74 , 4.20 , 8.88 , 11.16 , 2.01 
  碩士及以上, 222 , 100.00 , 37.21 , 41.86 , 22.80 ,, 43.87 , 55.43 , 14.21 , 44.86 , 2.94 , 12.68 , 7.87 , 1.68 
 專科以上科系別,,,,,,,,,,,,,,
  理、工、醫、農, 903 , 100.00 , 32.86 , 40.47 , 35.43 ,, 33.70 , 56.35 , 23.15 , 33.68 , 4.85 , 9.09 , 10.36 , 3.05 
  商、管、教育、法、文," 1,377 ", 100.00 , 27.35 , 39.65 , 38.79 ,, 30.20 , 57.92 , 30.56 , 32.65 , 3.95 , 8.66 , 11.64 , 1.96 
  傳播、藝術, 118 , 100.00 , 35.89 , 38.33 , 25.86 ,, 30.81 , 45.99 , 23.48 , 45.52 , 3.41 , 15.01 , 15.71 , 2.45 
  其他, 158 , 100.00 , 27.05 , 46.85 , 39.61 ,, 24.73 , 44.56 , 26.83 , 36.69 , 4.69 , 5.49 , 8.35 , 4.79 
說明1：本問項可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,,
說明2：科系可複選，故細項合計大於專科及以上之合計。,,,,,,,,,,,,,,
表44、青年勞工初次尋職時選擇工作的考慮因素,,,,,,,─按工作地區、行業、規模別分,,,,,,,
,,,,,中華民國,,97年10月,,,,,,,單位：人，%
項    目    別,樣 本 數,合計,"能學以致用
的工作","能學習到
知識技能",工作穩定性,,有發展前景,薪資及福利,通勤方便,"符合自己
興趣的工作",工作負擔較輕,有挑戰性 ,有升遷機會,其他
,,,能學以致用的工作,能學習到知識技能,工作穩定性,,有發展前景,待遇高,通勤方便,符合自己興趣的工作,工作負擔較輕,有挑戰性 ,有升遷機會,其他
,,,,,,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 25.93 , 38.21 , 41.12 ,, 26.59 , 55.04 , 30.95 , 33.42 , 5.35 , 8.13 , 10.53 , 3.16 
  工作地區別,,,,,,,,,,,,,,
  台北市 ," 1,182 ", 100.00 , 29.36 , 42.58 , 32.25 ,, 29.79 , 52.01 , 29.74 , 35.29 , 3.98 , 8.86 , 10.64 , 3.16 
  高雄市  , 229 , 100.00 , 26.11 , 33.67 , 45.65 ,, 22.59 , 62.44 , 25.84 , 34.48 , 5.52 , 8.31 , 11.18 , 4.58 
  北    區," 1,287 ", 100.00 , 24.05 , 38.01 , 42.68 ,, 26.24 , 56.35 , 31.80 , 33.69 , 5.21 , 7.16 , 9.67 , 3.04 
  中    區, 771 , 100.00 , 24.09 , 34.08 , 44.82 ,, 27.59 , 57.42 , 32.76 , 29.16 , 6.85 , 9.36 , 12.01 , 3.12 
  南    區, 508 , 100.00 , 25.59 , 37.38 , 49.54 ,, 20.95 , 51.88 , 31.10 , 34.38 , 6.23 , 6.87 , 9.34 , 2.98 
  東    區, 35 , 100.00 , 23.84 , 30.30 , 49.88 ,, 17.35 , 54.36 , 32.24 , 33.26 , 9.86 , 8.71 , 18.51 , 2.06 
  行業別,,,,,,,,,,,,,,
  農林漁牧業, 3 , 100.00 , 32.24 , 37.61 , 53.33 ,, 21.55 , 57.91 , 39.25 , 20.48 , 7.43 , 6.70 , 8.40 , 4.46 
  礦業及土石採取業, 1 , 100.00 , 20.06 , 34.51 , 58.77 ,, 19.66 , 59.84 , 18.15 , 39.99 , 15.15 , 2.51 , 13.71 , 5.34 
  製造業," 1,334 ", 100.00 , 24.05 , 41.55 , 47.40 ,, 27.62 , 56.90 , 31.61 , 30.35 , 4.55 , 8.08 , 10.16 , 2.56 
  水電燃氣業 , 5 , 100.00 , 23.57 , 27.54 , 52.81 ,, 23.38 , 62.57 , 34.72 , 34.90 , 8.25 , 4.63 , 14.15 , 1.62 
  營造業, 135 , 100.00 , 28.81 , 40.71 , 44.93 ,, 27.10 , 49.84 , 29.32 , 25.63 , 6.47 , 7.13 , 5.88 , 3.02 
  批發及零售業," 1,154 ", 100.00 , 25.54 , 37.86 , 38.26 ,, 25.08 , 51.80 , 33.45 , 32.67 , 4.57 , 7.53 , 10.18 , 3.42 
  住宿及餐飲業, 293 , 100.00 , 23.12 , 36.35 , 33.24 ,, 26.37 , 59.00 , 31.81 , 37.95 , 2.79 , 3.18 , 13.42 , 5.30 
  運輸、倉儲及通信業, 115 , 100.00 , 26.04 , 32.19 , 50.51 ,, 25.38 , 58.51 , 28.84 , 42.95 , 2.18 , 9.24 , 7.25 , 1.73 
  金融及保險業, 176 , 100.00 , 24.55 , 34.41 , 34.74 ,, 38.03 , 67.17 , 23.14 , 29.28 , 4.39 , 7.63 , 15.93 , 2.35 
  不動產及租賃業, 51 , 100.00 , 22.25 , 48.79 , 31.68 ,, 34.63 , 55.62 , 23.84 , 34.17 , 8.39 , 13.03 , 11.65 , 2.23 
  專業科學及技術服務業, 244 , 100.00 , 30.15 , 42.08 , 29.04 ,, 28.97 , 51.64 , 30.88 , 43.45 , 4.42 , 13.50 , 10.81 , 1.40 
  教育服務業, 32 , 100.00 , 27.89 , 34.20 , 42.33 ,, 30.90 , 57.84 , 25.33 , 40.68 , 7.51 , 5.33 , 13.08 , 3.50 
  醫療保健及社會福利服務業, 138 , 100.00 , 44.70 , 32.99 , 36.83 ,, 20.67 , 61.70 , 22.11 , 38.46 , 8.69 , 5.47 , 8.72 , 4.23 
  文化運動及休閒服務業, 82 , 100.00 , 23.01 , 29.26 , 38.06 ,, 28.86 , 51.99 , 19.11 , 42.81 , 10.58 , 9.53 , 15.31 , 6.02 
  其他服務業, 212 , 100.00 , 27.20 , 28.57 , 43.04 ,, 17.05 , 46.88 , 33.43 , 35.40 , 14.45 , 13.21 , 9.36 , 4.81 
  公共行政業, 37 , 100.00 , 28.78 , 30.29 , 53.39 ,, 28.04 , 54.30 , 31.52 , 26.71 , 11.92 , 8.80 , 9.62 , 1.80 
  規模別,,,,,,,,,,,,,,
  29人以下," 1,388 ", 100.00 , 26.13 , 40.48 , 42.18 ,, 23.65 , 48.44 , 33.41 , 34.06 , 5.66 , 8.63 , 8.96 , 2.92 
  30人～49人, 304 , 100.00 , 20.17 , 38.84 , 41.19 ,, 25.18 , 56.43 , 31.00 , 32.13 , 8.51 , 7.78 , 11.06 , 4.17 
  50人～199人, 678 , 100.00 , 25.70 , 38.37 , 42.58 ,, 26.84 , 56.06 , 31.49 , 31.75 , 4.44 , 7.33 , 10.77 , 4.10 
  200人～499人, 434 , 100.00 , 27.59 , 32.48 , 42.82 ,, 27.40 , 60.04 , 30.40 , 36.78 , 5.45 , 8.01 , 14.25 , 2.11 
  500人以上," 1,208 ", 100.00 , 26.69 , 37.40 , 38.44 ,, 29.90 , 59.90 , 28.01 , 32.74 , 4.67 , 8.12 , 10.72 , 3.04 
說明：本問項可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
表45、青年勞工初次尋職時選擇工作的考慮因素,,,,,,,─按職業、工作性質、工作年資、每月收入別分,,,,,,,
,,,,,中華民國,,97年10月,,,,,,,單位：人，%
項    目    別,樣 本 數,合計,"能學以致用
的工作","能學習到
知識技能",工作穩定性,,有發展前景,薪資及福利,通勤方便,"符合自己
興趣的工作",工作負擔較輕,有挑戰性 ,有升遷機會,其他
,,,能學以致用的工作,能學習到知識技能,工作穩定性,,有發展前景,待遇高,通勤方便,符合自己興趣的工作,工作負擔較輕,有挑戰性 ,有升遷機會,其他
,,,,,,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 25.93 , 38.21 , 41.12 ,, 26.59 , 55.04 , 30.95 , 33.42 , 5.35 , 8.13 , 10.53 , 3.16 
  職業別,,,,,,,,,,,,,,
  行政、企業主管及經理人員, 62 , 100.00 , 22.47 , 36.80 , 29.38 ,, 32.98 , 43.66 , 31.19 , 32.86 , - , 12.88 , 17.00 , 5.20 
  專業人員, 548 , 100.00 , 38.44 , 43.34 , 27.20 ,, 34.19 , 61.40 , 21.32 , 36.44 , 4.49 , 8.71 , 9.21 , 2.17 
  技術員及助理專業人員, 862 , 100.00 , 25.76 , 42.82 , 40.90 ,, 30.41 , 56.22 , 26.18 , 34.44 , 5.12 , 8.35 , 10.72 , 2.91 
  事務工作人員," 1,072 ", 100.00 , 25.82 , 37.55 , 47.32 ,, 24.84 , 55.76 , 35.46 , 28.93 , 4.86 , 9.09 , 10.95 , 1.65 
  服務工作人員及售貨員, 858 , 100.00 , 22.85 , 32.05 , 34.38 ,, 21.64 , 51.27 , 35.66 , 38.50 , 5.29 , 6.94 , 10.68 , 5.46 
  農林漁牧工作人員, 7 , 100.00 , 26.50 , 27.73 , 47.43 ,, 13.20 , 52.41 , 48.63 , 42.86 , 3.24 , 0.58 , 4.91 , 10.59 
  技術工及有關工作人員, 226 , 100.00 , 24.47 , 39.17 , 51.63 ,, 23.21 , 47.41 , 26.44 , 28.42 , 8.37 , 8.13 , 11.16 , 5.44 
  機械設備操作及組裝工, 244 , 100.00 , 18.54 , 36.37 , 54.98 ,, 24.86 , 56.67 , 31.35 , 31.72 , 7.64 , 5.90 , 9.59 , 3.11 
  非技術工及體力工, 133 , 100.00 , 13.98 , 35.22 , 55.14 ,, 23.34 , 55.12 , 40.63 , 29.10 , 8.06 , 6.48 , 8.17 , 1.16 
  工作型態,,,,,,,,,,,,,,
  全日工作," 3,571 ", 100.00 , 26.26 , 38.88 , 41.19 ,, 27.26 , 55.73 , 29.49 , 32.88 , 4.97 , 8.13 , 10.70 , 3.17 
  部分工時工作, 441 , 100.00 , 23.22 , 32.74 , 40.55 ,, 21.14 , 49.42 , 42.78 , 37.83 , 8.40 , 8.07 , 9.10 , 3.07 
  僱用類型,,,,,,,,,,,,,,
  一般員工," 3,833 ", 100.00 , 26.17 , 38.15 , 40.88 ,, 26.87 , 55.17 , 30.88 , 33.29 , 5.34 , 8.03 , 10.60 , 3.18 
  派遣員工, 179 , 100.00 , 20.76 , 39.48 , 46.20 ,, 20.56 , 52.16 , 32.38 , 36.22 , 5.48 , 10.14 , 8.97 , 2.85 
  工作年資別,,,,,,,,,,,,,,
  未滿1年, 247 , 100.00 , 27.60 , 44.00 , 41.94 ,, 24.14 , 43.63 , 31.76 , 37.92 , 3.94 , 12.95 , 6.29 , 3.27 
  1~未滿3年," 1,340 ", 100.00 , 28.42 , 37.74 , 37.49 ,, 28.17 , 52.86 , 32.64 , 36.72 , 6.33 , 7.50 , 10.04 , 2.35 
  3~未滿6年," 1,448 ", 100.00 , 26.39 , 39.07 , 42.11 ,, 25.59 , 55.58 , 29.55 , 32.68 , 4.63 , 8.64 , 11.43 , 3.66 
  6~未滿10年, 766 , 100.00 , 21.28 , 36.34 , 41.68 ,, 27.63 , 60.72 , 31.06 , 29.49 , 5.59 , 7.35 , 11.35 , 3.57 
  10年及以上, 211 , 100.00 , 21.91 , 35.24 , 54.30 ,, 22.57 , 57.92 , 28.51 , 26.54 , 4.83 , 5.73 , 9.37 , 3.29 
  每月工作收入別  ,,,,,,,,,,,,,,
"  未滿17,280元", 337 , 100.00 , 26.76 , 34.01 , 38.73 ,, 15.19 , 49.31 , 44.36 , 36.67 , 8.45 , 8.38 , 7.82 , 3.33 
"  17,280 ~未滿2萬元", 309 , 100.00 , 21.32 , 34.28 , 48.02 ,, 20.14 , 49.40 , 35.57 , 35.46 , 8.94 , 5.63 , 11.45 , 2.89 
  2萬~未滿2萬5千元, 792 , 100.00 , 21.65 , 36.75 , 50.09 ,, 21.53 , 55.39 , 37.95 , 28.74 , 7.02 , 6.34 , 9.27 , 3.15 
  2萬5千~未滿3萬元," 1,021 ", 100.00 , 22.80 , 37.54 , 41.76 ,, 23.96 , 57.14 , 31.31 , 34.76 , 3.99 , 8.64 , 11.60 , 4.03 
  3萬~未滿3萬元5千元, 785 , 100.00 , 31.19 , 39.19 , 38.85 ,, 32.05 , 54.80 , 25.33 , 34.11 , 4.83 , 8.83 , 11.45 , 2.13 
  3萬5千元~未滿4萬元, 357 , 100.00 , 29.01 , 44.65 , 33.37 ,, 33.46 , 58.98 , 22.57 , 36.14 , 3.83 , 8.20 , 11.37 , 2.42 
  4萬~未滿4萬5千元, 204 , 100.00 , 33.57 , 41.05 , 29.25 ,, 41.29 , 54.99 , 19.26 , 27.74 , 3.58 , 8.09 , 9.20 , 4.55 
  4萬5千元~未滿5萬元, 100 , 100.00 , 34.38 , 39.28 , 35.67 ,, 43.44 , 48.00 , 22.91 , 39.13 , 2.67 , 14.79 , 7.89 , 0.18 
  5萬元以上, 107 , 100.00 , 26.95 , 44.81 , 26.26 ,, 37.04 , 61.90 , 19.04 , 30.46 , 0.46 , 11.26 , 10.76 , 5.59 
說明：本問項可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,,
