表17 青年勞工離開,,,,,,,,,,第一份工作的原因,,,,,,,,,,,
 中華民國 ,,,,,,,,,, 105年 10月 ,,,,,,,,,,,單位：人，％，月
項目別,樣本數,合計,目前工作為第一份工作,不是第一份工作， ,,,,,,離開的原因,,,,,,,,,,,"第一份
工作
年資"
,,,,計,"待遇及
福利差","工作無
發展前景","性向
不合","工作
環境不佳",,"想更換
工作地點",個人技能無法有效發揮,"公司經
營困難","家庭或
健康因素","工作太累
、壓力大",與同事或主管相處困難,"想自行
開創事業","被
解僱","準備
考試",其他,平均第一份工作年資,
總計," 4,047 ", 100.00 , 41.01 , 58.99 , 19.35 , 19.64 , 8.96 , 9.96 ,, 19.93 , 7.74 , 2.81 , 4.25 , 8.79 , 5.81 , 0.83 , 1.29 , 2.97 , 2.82 , 14.88 , 19.58 
性別,,,,,,,,,,,,,,,,,,,,,
男," 1,641 ", 100.00 , 45.15 , 54.85 , 18.66 , 18.57 , 9.72 , 10.57 ,, 18.87 , 7.12 , 2.80 , 3.24 , 6.49 , 5.51 , 1.35 , 1.12 , 3.10 , 3.53 , 14.26 , 19.73 
女," 2,406 ", 100.00 , 37.18 , 62.82 , 19.99 , 20.64 , 8.26 , 9.39 ,, 20.91 , 8.32 , 2.81 , 5.19 , 10.93 , 6.08 , 0.35 , 1.44 , 2.84 , 2.15 , 15.38 , 19.44 
年齡,,,,,,,,,,,,,,,,,,,,,
15~19歲, 129 , 100.00 , 48.87 , 51.13 , 12.60 , 9.48 , 6.97 , 7.80 ,, 21.80 , 2.31 , 0.37 , 1.01 , 4.57 , 6.60 , 0.63 , 0.38 , 7.02 , 5.25 , 6.43 , 8.28 
20~24歲," 1,061 ", 100.00 , 52.26 , 47.74 , 14.59 , 14.60 , 5.43 , 8.23 ,, 17.49 , 5.54 , 2.55 , 3.09 , 6.86 , 4.53 , 0.79 , 0.87 , 2.83 , 2.71 , 10.87 , 14.48 
25~29歲," 2,857 ", 100.00 , 33.95 , 66.05 , 22.75 , 23.61 , 11.12 , 11.16 ,, 21.03 , 9.59 , 3.23 , 5.27 , 10.35 , 6.41 , 0.87 , 1.62 , 2.56 , 2.58 , 17.24 , 23.71 
教育程度,,,,,,,,,,,,,,,,,,,,,
國中及以下, 72 , 100.00 , 38.67 , 61.33 , 12.97 , 6.85 , 9.63 , 5.90 ,, 19.99 , 0.99 , 7.34 , 3.10 , 2.92 , 9.31 , -   , 0.31 , 3.99 , 3.39 , 10.54 , 14.35 
高中（職）, 796 , 100.00 , 32.88 , 67.12 , 20.08 , 17.75 , 6.58 , 11.03 ,, 27.46 , 4.94 , 2.76 , 4.61 , 7.70 , 6.62 , 1.05 , 1.09 , 3.41 , 4.19 , 15.93 , 19.67 
