表36、青年勞工離開第一份工作的原因,,,,,,,,,,,─按性別、年齡、教育程度別分,,,,,,,,,,,
,,,,,,,,,中華民國,,97年10月,,,,,,,,,,,單位：人，%，月
項    目    別,樣 本 數,合計,"目前工作
為第一份
工作",不是第一份工作，離開的原因,,,,,,,,,,,,,,,,,,
,,,,計,"待遇及
福利差","工作無
發展前景",性向不合,"工作環境
不佳"," 想更換
工作地點",,"個人技能
無法有效
發揮","公司經營
困難","家庭或
健康因素","工作太累
壓力大","與同事或
主管相處
困難","想自行
開創事業",被解僱,準備考試,工時太長,當兵,其他,"平均第一
份工作做
幾個月"
,,,,,,,,,,,,,,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 37.30 , 62.70 , 15.86 , 16.93 , 7.28 , 8.74 , 15.15 ,, 6.15 , 5.14 , 3.12 , 6.33 , 4.17 , 0.55 , 1.63 , 5.99 , 5.57 , 2.09 , 8.03 , 8.26 
  性別,,,,,,,,,,,,,,,,,,,,,,
  男性," 1,995 ", 100.00 , 41.06 , 58.94 , 15.46 , 15.35 , 6.64 , 8.89 , 12.80 ,, 4.37 , 4.32 , 2.34 , 4.95 , 3.81 , 0.75 , 1.16 , 4.24 , 5.33 , 4.21 , 8.43 , 8.18 
  女性," 2,017 ", 100.00 , 33.59 , 66.41 , 16.25 , 18.48 , 7.90 , 8.59 , 17.47 ,, 7.91 , 5.96 , 3.90 , 7.69 , 4.53 , 0.36 , 2.10 , 7.72 , 5.80 , - , 7.63 , 8.33 
  年齡別    ,,,,,,,,,,,,,,,,,,,,,,
  15~19歲, 322 , 100.00 , 51.56 , 48.44 , 10.13 , 10.43 , 4.91 , 4.38 , 13.74 ,, 0.21 , 3.66 , 3.93 , 7.00 , 3.79 , - , 2.04 , 6.22 , 3.39 , - , 11.95 , 4.93 
  20~24歲," 1,267 ", 100.00 , 45.63 , 54.37 , 13.49 , 11.84 , 6.09 , 7.92 , 15.25 ,, 5.26 , 3.22 , 2.63 , 6.52 , 3.52 , 0.80 , 1.55 , 6.06 , 5.00 , 1.49 , 6.80 , 7.64 
  25~29歲," 2,423 ", 100.00 , 31.06 , 68.94 , 17.86 , 20.45 , 8.21 , 9.75 , 15.28 ,, 7.41 , 6.35 , 3.27 , 6.14 , 4.57 , 0.49 , 1.63 , 5.92 , 6.15 , 2.68 , 8.15 , 8.80 
  教育程度別,,,,,,,,,,,,,,,,,,,,,,
  國中及以下, 244 , 100.00 , 39.02 , 60.98 , 16.25 , 10.72 , 9.60 , 8.59 , 18.42 ,, 2.06 , 6.32 , 5.25 , 6.74 , 5.87 , 0.01 , 3.86 , 3.36 , 5.04 , 1.72 , 7.10 , 7.42 
