表34、青年勞工初次尋職遭遇到困難情形,,,,,,,─按性別、年齡、教育程度、工作年資別分,,,,,,
,,,,,中華民國,,97年10月,,,,,,單位：人，%
項    目    別,樣 本 數,合    計,有遇到困難，遇到的困難為,,,,,,,,,,沒有遇到困難
,,,計,"求職管道
不足","求職面試技
巧不足或不
會寫履歷",,"工作內容要求
不瞭解","不知道自己適合
做哪方面工作",技能不足,學經歷不足,職缺少,其他,
,,,,,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 46.89 , 9.90 , 16.90 ,, 11.76 , 26.25 , 18.61 , 21.85 , 11.35 , 1.61 , 53.11 
  性別,,,,,,,,,,,,,
  男性," 1,995 ", 100.00 , 46.92 , 10.93 , 15.38 ,, 11.66 , 24.45 , 20.57 , 23.83 , 11.22 , 1.69 , 53.08 
  女性," 2,017 ", 100.00 , 46.86 , 8.88 , 18.41 ,, 11.85 , 28.04 , 16.68 , 19.89 , 11.48 , 1.53 , 53.14 
  年齡別    ,,,,,,,,,,,,,
  15~19歲, 322 , 100.00 , 44.79 , 12.03 , 13.77 ,, 11.07 , 25.88 , 12.09 , 19.24 , 6.63 , 2.39 , 55.21 
  20~24歲," 1,267 ", 100.00 , 47.55 , 11.17 , 18.03 ,, 12.59 , 25.84 , 18.93 , 23.22 , 13.86 , 1.26 , 52.45 
  25~29歲," 2,423 ", 100.00 , 46.82 , 8.95 , 16.72 ,, 11.41 , 26.52 , 19.31 , 21.47 , 10.67 , 1.69 , 53.18 
  教育程度別,,,,,,,,,,,,,
  國中及以下, 244 , 100.00 , 40.00 , 10.73 , 8.18 ,, 9.39 , 24.31 , 17.80 , 25.96 , 5.20 , 2.10 , 60.00 
  高中(職)," 1,276 ", 100.00 , 44.28 , 10.39 , 14.00 ,, 9.28 , 24.13 , 18.98 , 24.04 , 9.34 , 1.70 , 55.72 
  專科, 643 , 100.00 , 44.49 , 8.86 , 16.22 ,, 8.18 , 23.57 , 17.50 , 19.48 , 7.59 , 1.51 , 55.51 
  大學," 1,627 ", 100.00 , 51.05 , 10.37 , 20.55 ,, 15.20 , 30.01 , 20.20 , 21.95 , 14.87 , 1.45 , 48.95 
  碩士及以上, 222 , 100.00 , 45.95 , 5.82 , 18.34 ,, 13.73 , 20.84 , 8.98 , 10.81 , 14.78 , 2.08 , 54.05 
 專科以上科系別,,,,,,,,,,,,,
  理、工、醫、農, 903 , 100.00 , 48.01 , 10.44 , 18.63 ,, 14.84 , 25.72 , 19.60 , 21.73 , 12.10 , 1.46 , 51.99 
  商、管、教育、法、文," 1,377 ", 100.00 , 50.44 , 8.71 , 19.45 ,, 12.13 , 29.94 , 17.86 , 20.47 , 13.11 , 1.77 , 49.56 
  傳播、藝術, 118 , 100.00 , 50.90 , 13.37 , 20.38 ,, 19.57 , 22.78 , 19.45 , 18.69 , 21.62 , 0.78 , 49.10 
  其他, 158 , 100.00 , 39.40 , 9.34 , 18.42 ,, 6.64 , 17.64 , 14.51 , 11.95 , 12.43 , 0.19 , 60.60 
說明1：遇到困難可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,
說明2：科系可複選，故細項合計大於專科及以上之合計。,,,,,,,,,,,,,
表41、青年勞工初次尋職遭遇到困難情形,,,,,,,─按工作地區、行業、規模別分,,,,,,
,,,,,中華民國,,97年10月,,,,,,單位：人，%
項    目    別,樣 本 數,合    計,有遇到困難，遇到的困難為,,,,,,,,,,沒有遇到困難
,,,計,"求職管道
不足","求職面試技
巧不足或不
會寫履歷",,"工作內容要求
不瞭解","不知道自己適合
做哪方面工作",技能不足,學經歷不足,職缺少,其他,
,,,,,,,,,,,,,
總                                 計," 4,012 ", 100.00 , 46.89 , 9.90 , 16.90 ,, 11.76 , 26.25 , 18.61 , 21.85 , 11.35 , 1.61 , 53.11 
