year,總計,醫師,中醫師,牙醫師,藥師,醫事檢驗師,護理師,護士,助產師,助產士,鑲牙生,藥劑生,醫事檢驗生,醫事放射師,醫事放射士,營養師,物理治療師,物理治療生,職能治療師,職能治療生,臨床心理師,諮商心理師,呼吸治療師,語言治療師,聽力師,牙體技術師,牙體技術生
88,26691,1376,340,379,1129,1014,8014,12841,-,56,-,18,15,-,-,285,519,427,223,55,-,-,-,-,-,-,-
89,25887,1507,299,295,1049,776,7256,10226,-,43,-,6,17,3128,295,214,326,291,123,36,-,-,-,-,-,-,-
90,19749,1440,408,366,1255,774,5937,7434,-,23,-,-,23,552,64,483,338,378,228,46,-,-,-,-,-,-,-
91,17404,1184,377,319,885,653,7471,5272,-,20,-,3,13,285,13,328,286,61,191,43,-,-,-,-,-,-,-
92,23188,1257,123,323,1243,804,8480,9370,-,71,-,12,1,258,4,282,327,139,136,37,183,93,45,-,-,-,-
93,22120,1393,388,347,1029,639,8976,6016,72,41,-,1,10,352,1,366,208,242,159,28,311,447,1094,-,-,-,-
94,26416,1437,259,379,1015,1015,12521,7721,92,99,-,-,2,422,3,311,279,341,157,74,39,163,87,-,-,-,-
95,17318,1337,275,390,465,680,7231,4924,5,44,-,2,110,358,64,109,414,306,278,38,53,81,154,-,-,-,-
96,20190,1501,284,381,854,510,7467,6759,121,39,-,9,-,430,2,444,363,399,191,100,68,173,95,-,-,-,-
97,17905,1486,425,423,1095,175,6719,4753,434,102,-,23,-,332,3,340,401,414,226,146,73,161,174,-,-,-,-
98,20420,1454,243,396,927,479,7693,6509,43,11,-,-,-,470,-,402,460,443,290,102,68,183,247,-,-,-,-
99,21884,1345,253,383,1263,490,8178,5272,45,15,-,-,-,360,-,556,348,412,390,110,76,307,228,594,233,439,587
100,18637,1337,249,403,1023,647,7048,5155,38,1,-,2,1,469,1,361,390,7,326,1,103,189,254,66,51,219,296
101,20714,1339,321,430,927,577,7872,5681,23,3,-,1,-,326,-,436,401,2,246,-,83,357,238,81,38,914,418
102,14630,1346,320,434,1081,453,7316,27,15,2,-,2,-,371,-,442,556,-,246,-,98,179,163,146,77,407,931
103,14501,1447,288,448,921,441,8184,13,32,4,-,2,-,419,-,314,518,2,354,-,124,410,215,66,27,270,2
