"表14 青年勞工覺得學校所學與目前工作學以致用的程度
",,,,,,,
,,, 中華民國101年10月  ,,,, 單位：人，％ 
項目別,樣本數,合計,很高,高,普通,低,很低
,,,,,,,
總計," 4,064 ", 100.00 , 3.95 , 11.85 , 49.04 , 17.97 , 17.18 
性別,,,,,,,
男," 1,679 ", 100.00 , 3.10 , 10.06 , 47.35 , 18.58 , 20.90 
女," 2,385 ", 100.00 , 4.74 , 13.51 , 50.61 , 17.41 , 13.73 
年齡,,,,,,,
15-19歲, 136 , 100.00 , 3.05 , 8.36 , 49.21 , 18.59 , 20.78 
20-24歲, 962 , 100.00 , 3.81 , 10.26 , 50.52 , 18.11 , 17.30 
25-29歲," 2,966 ", 100.00 , 4.17 , 13.27 , 48.22 , 17.80 , 16.54 
教育程度,,,,,,,
國中及以下, 137 , 100.00 , 5.87 , 4.20 , 51.39 , 11.32 , 27.23 
高中（職）," 1,020 ", 100.00 , 1.54 , 6.54 , 49.09 , 18.95 , 23.88 
專科, 285 , 100.00 , 2.77 , 7.67 , 55.27 , 16.84 , 17.44 
大學," 2,313 ", 100.00 , 4.55 , 14.13 , 48.41 , 19.23 , 13.69 
碩士及以上, 309 , 100.00 , 9.28 , 26.45 , 46.02 , 11.23 , 7.01 
專科以上科系,,,,,,,
人文, 535 , 100.00 , 6.37 , 14.34 , 48.14 , 16.64 , 14.50 
社會," 1,286 ", 100.00 , 3.09 , 12.57 , 50.86 , 20.89 , 12.59 
科技," 1,086 ", 100.00 , 6.17 , 17.68 , 47.01 , 15.69 , 13.45 
行業,,,,,,,
農、林、漁、牧業, 68 , 100.00 , 6.14 , 20.99 , 44.96 , 13.34 , 14.57 
工業," 1,345 ", 100.00 , 2.61 , 8.25 , 49.32 , 19.13 , 20.69 
礦業及土石採取業, 40 , 100.00 , - , 19.05 , 39.80 , 30.01 , 11.14 
製造業, 985 , 100.00 , 2.83 , 7.90 , 49.15 , 18.96 , 21.16 
電力及燃氣供應業, 106 , 100.00 , 3.82 , 12.19 , 51.96 , 14.70 , 17.33 
用水供應及污染整治業, 95 , 100.00 , - , 11.85 , 49.76 , 14.67 , 23.72 
營造業, 119 , 100.00 , 0.80 , 10.93 , 50.82 , 21.36 , 16.10 
服務業," 2,651 ", 100.00 , 4.62 , 13.63 , 48.91 , 17.40 , 15.44 
批發及零售業, 771 , 100.00 , 2.94 , 8.09 , 49.63 , 20.89 , 18.45 
運輸及倉儲業, 126 , 100.00 , 0.56 , 10.95 , 49.01 , 17.55 , 21.93 
住宿及餐飲業, 184 , 100.00 , 2.94 , 11.78 , 51.61 , 14.09 , 19.58 
資訊及通訊傳播業, 163 , 100.00 , 4.85 , 20.68 , 47.21 , 16.33 , 10.93 
金融及保險業, 204 , 100.00 , 2.45 , 22.39 , 43.91 , 20.63 , 10.62 
不動產業, 99 , 100.00 , 0.72 , 10.47 , 53.74 , 12.50 , 22.58 
專業、科學及技術服務業, 212 , 100.00 , 8.83 , 17.28 , 48.30 , 16.27 , 9.32 
支援服務業, 150 , 100.00 , 2.69 , 9.61 , 57.38 , 17.30 , 13.02 
公共行政及國防;強制性社會安全, 145 , 100.00 , 9.93 , 10.92 , 48.60 , 14.41 , 16.14 
教育服務業, 153 , 100.00 , 7.83 , 20.18 , 48.45 , 16.66 , 6.89 
醫療保健及社會工作服務業, 258 , 100.00 , 14.00 , 26.17 , 42.13 , 9.75 , 7.94 
藝術、娛樂及休閒服務業, 71 , 100.00 , 3.92 , 13.85 , 46.85 , 19.44 , 15.94 
其他服務業, 115 , 100.00 , 1.02 , 26.23 , 41.14 , 15.16 , 16.45 
職業,,,,,,,
民意代表、主管及經理人員, 35 , 100.00 , 1.79 , 18.51 , 39.89 , 12.43 , 27.37 
專業人員, 664 , 100.00 , 10.63 , 29.20 , 41.88 , 10.89 , 7.40 
技術員及助理專業人員, 879 , 100.00 , 3.72 , 10.49 , 49.62 , 19.41 , 16.76 
事務支援人員," 1,170 ", 100.00 , 2.59 , 9.72 , 55.64 , 18.71 , 13.34 
服務及銷售工作人員, 659 , 100.00 , 1.96 , 9.07 , 50.78 , 19.78 , 18.41 
農林漁牧業生產人員, 25 , 100.00 , - , 7.70 , 25.27 , 22.29 , 44.74 
技藝有關工作人員, 176 , 100.00 , 1.22 , 5.07 , 50.76 , 22.02 , 20.92 
機械設備操作及組裝人員, 205 , 100.00 , 4.34 , 3.09 , 43.67 , 17.92 , 30.98 
基層技術工及勞力工, 251 , 100.00 , 1.47 , 1.86 , 41.58 , 20.01 , 35.07 
說明：科系可複選，故細項加總大於專科以上之合計。,,,,,,,
"表14 青年勞工覺得學校所學與目前工作學以致用的程度（續完）
",,,,,,,
