年度,性別,縣市,癌別,WHO2000年人口標準化發生率(每10萬人口),粗發生率(每10萬人口)
1996,不分男女,全國,口腔,10.93,10.42
1996,不分男女,台北市,口腔,8.41,8.71
1996,不分男女,台中市,口腔,12.24,10.37
1996,不分男女,台南市,口腔,7.86,7.83
1996,不分男女,高雄市,口腔,12.16,11.51
1996,不分男女,基隆市,口腔,7.15,6.68
1996,不分男女,新竹市,口腔,5.92,5.49
1996,不分男女,嘉義市,口腔,9.55,9.51
1996,不分男女,新北市,口腔,10.34,9.21
1996,不分男女,桃園縣,口腔,8.16,7.2
1996,不分男女,新竹縣,口腔,6.97,6.51
1996,不分男女,宜蘭縣,口腔,6.37,6.66
1996,不分男女,苗栗縣,口腔,6.61,6.61
1996,不分男女,彰化縣,口腔,18.81,17.8
1996,不分男女,南投縣,口腔,13.82,14.11
1996,不分男女,雲林縣,口腔,16.32,17.68
1996,不分男女,嘉義縣,口腔,13.56,13.96
1996,不分男女,屏東縣,口腔,10.04,9.97
1996,不分男女,澎湖縣,口腔,5.86,6.66
1996,不分男女,花蓮縣,口腔,18.78,18.68
1996,不分男女,台東縣,口腔,24.21,24.43
1996,男,全國,口腔,19.09,18.11
1996,男,台北市,口腔,14.34,14.67
1996,男,台中市,口腔,21.58,18.45
1996,男,台南市,口腔,14.31,14.05
1996,男,高雄市,口腔,21.95,20.75
1996,男,基隆市,口腔,12.73,11.9
1996,男,新竹市,口腔,8.08,7.88
1996,男,嘉義市,口腔,18.39,18.11
1996,男,新北市,口腔,17.14,15.51
1996,男,桃園縣,口腔,13.5,12.06
1996,男,新竹縣,口腔,12.35,11.44
1996,男,宜蘭縣,口腔,10.85,11.6
1996,男,苗栗縣,口腔,11.67,11.54
1996,男,彰化縣,口腔,34.13,32.06
1996,男,南投縣,口腔,23.36,23.45
1996,男,雲林縣,口腔,29.75,31.22
1996,男,嘉義縣,口腔,24.94,25.09
1996,男,屏東縣,口腔,16.86,16.53
1996,男,澎湖縣,口腔,9.32,10.56
1996,男,花蓮縣,口腔,31.75,31.85
1996,男,台東縣,口腔,36.12,35.68
1996,女,全國,口腔,2.41,2.28
1996,女,台北市,口腔,2.63,2.76
1996,女,台中市,口腔,2.56,2.03
1996,女,台南市,口腔,1.2,1.26
1996,女,高雄市,口腔,2,1.72
1996,女,基隆市,口腔,1.38,1.11
1996,女,新竹市,口腔,3.72,2.97
1996,女,嘉義市,口腔,0.8,0.77
1996,女,新北市,口腔,3.43,2.72
1996,女,桃園縣,口腔,2.36,1.98
1996,女,新竹縣,口腔,0.96,1.02
1996,女,宜蘭縣,口腔,1.42,1.34
1996,女,苗栗縣,口腔,1.04,1.13
1996,女,彰化縣,口腔,2.46,2.41
1996,女,南投縣,口腔,3.51,3.85
