表19、青年勞工加班情形─按性別、年齡、教育程度別分,,,,,,,,
,,,中華民國,99年10月,,,,單位：人，%，小時
項    目    別,樣 本 數,合    計,"沒有
加班",有加班,,,,
,,,,計,有加班費,沒有            加班費,"平均每週
加班時數","平均每週
領取加班費
時數"
,,,,,,,,
總                                 計," 4,014 ", 100.00 , 40.84 , 59.16 , 35.02 , 24.15 , 6.72 , 3.97 
  性別,,,,,,,,
男性," 1,859 ", 100.00 , 38.48 , 61.52 , 41.13 , 20.40 , 7.72 , 5.04 
女性," 2,155 ", 100.00 , 43.20 , 56.80 , 28.90 , 27.90 , 5.64 , 2.81 
  年齡別    ,,,,,,,,
15~19歲, 139 , 100.00 , 64.51 , 35.49 , 30.87 , 4.63 , 5.02 , 4.26 
20~24歲, 955 , 100.00 , 47.45 , 52.55 , 34.96 , 17.59 , 6.43 , 4.43 
25~29歲," 2,920 ", 100.00 , 35.42 , 64.58 , 35.51 , 29.07 , 6.92 , 3.80 
  教育程度別,,,,,,,,
國中及以下, 203 , 100.00 , 52.40 , 47.60 , 42.60 , 5.01 , 8.09 , 6.95 
高中(職)," 1,088 ", 100.00 , 45.85 , 54.15 , 43.94 , 10.21 , 7.59 , 6.20 
專科, 440 , 100.00 , 49.42 , 50.58 , 29.76 , 20.82 , 6.14 , 3.57 
大學," 2,017 ", 100.00 , 37.44 , 62.56 , 30.58 , 31.98 , 6.08 , 2.88 
碩士及以上, 266 , 100.00 , 19.68 , 80.32 , 27.74 , 52.58 , 7.33 , 2.05 
專科以上科系別,,,,,,,,
人文, 447 , 100.00 , 41.03 , 58.97 , 24.87 , 34.10 , 5.13 , 2.14 
社會," 1,189 ", 100.00 , 41.04 , 58.96 , 26.42 , 32.54 , 5.83 , 2.24 
科技," 1,159 ", 100.00 , 32.63 , 67.37 , 35.17 , 32.20 , 7.00 , 3.61 
說明：科系可複選，故細項合計大於專科及以上之合計。,,,,,,,,
,,,,,,,,
表20、青年勞工加班情形─按工作地區、行業、規模別分,,,,,,,,
,,,中華民國,99年10月,,,,單位：人，%，小時
項    目    別,樣 本 數,合    計,"沒有
加班",有加班,,,,
,,,,計,有加班費,沒有            加班費,"平均每週
加班時數","平均每週
領取加班費
時數"
,,,,,,,,
總                                 計," 4,014 ", 100.00 , 40.84 , 59.16 , 35.02 , 24.15 , 6.72 , 3.97 
  工作地區別,,,,,,,,
台北市 , 735 , 100.00 , 39.95 , 60.05 , 24.08 , 35.97 , 5.64 , 1.64 
高雄市  , 287 , 100.00 , 40.08 , 59.92 , 34.35 , 25.57 , 5.37 , 3.21 
北部地區," 1,284 ", 100.00 , 39.72 , 60.28 , 38.34 , 21.94 , 7.64 , 4.92 
中部地區, 898 , 100.00 , 40.20 , 59.80 , 42.86 , 16.94 , 7.05 , 5.22 
南部地區, 672 , 100.00 , 45.87 , 54.13 , 40.14 , 13.99 , 7.05 , 5.40 
東部地區, 138 , 100.00 , 55.62 , 44.38 , 23.23 , 21.15 , 4.98 , 2.78 
