"表10 青年勞工加班情形
",,,,,,,,
,,, 中華民國101年10月 ,,,,, 單位：人，％，天，小時 
項目別,樣本數,合計,"沒有
加班",有加班,,,,
,,,,計,"有加
班費","沒有
加班費","平均每週
加班時數",平均每週領取加班費時數
總計," 4,064 ", 100.00 , 53.47 , 46.53 , 26.89 , 19.64 , 5.53 , 3.19 
性別,,,,,,,,
男," 1,679 ", 100.00 , 54.34 , 45.66 , 30.48 , 15.17 , 6.51 , 4.08 
女," 2,385 ", 100.00 , 52.66 , 47.34 , 23.55 , 23.80 , 4.66 , 2.39 
年齡,,,,,,,,
15-19歲, 136 , 100.00 , 76.70 , 23.30 , 17.69 , 5.61 , 3.64 , 3.06 
20-24歲, 962 , 100.00 , 60.47 , 39.53 , 23.98 , 15.55 , 5.21 , 2.96 
25-29歲," 2,966 ", 100.00 , 45.94 , 54.06 , 29.94 , 24.12 , 5.79 , 3.29 
教育程度,,,,,,,,
國中及以下, 137 , 100.00 , 73.88 , 26.12 , 20.51 , 5.61 , 6.70 , 5.78 
高中（職）," 1,020 ", 100.00 , 64.09 , 35.91 , 28.10 , 7.81 , 5.50 , 4.33 
專科, 285 , 100.00 , 54.61 , 45.39 , 31.34 , 14.05 , 6.83 , 4.76 
大學," 2,313 ", 100.00 , 47.66 , 52.34 , 26.93 , 25.41 , 5.29 , 2.65 
碩士及以上, 309 , 100.00 , 35.52 , 64.48 , 22.15 , 42.34 , 5.82 , 1.94 
專科以上科系,,,,,,,,
人文, 535 , 100.00 , 49.35 , 50.65 , 21.73 , 28.92 , 5.12 , 2.01 
社會," 1,286 ", 100.00 , 50.36 , 49.64 , 23.40 , 26.24 , 4.90 , 2.24 
科技," 1,086 ", 100.00 , 42.18 , 57.82 , 32.87 , 24.96 , 6.20 , 3.48 
行業,,,,,,,,
農、林、漁、牧業, 68 , 100.00 , 66.35 , 33.65 , 19.79 , 13.85 , 5.34 , 3.38 
工業," 1,345 ", 100.00 , 46.71 , 53.29 , 38.93 , 14.36 , 6.50 , 4.81 
礦業及土石採取業, 40 , 100.00 , 65.26 , 34.74 , 23.54 , 11.20 , 3.80 , 3.10 
製造業, 985 , 100.00 , 45.73 , 54.27 , 40.06 , 14.21 , 6.65 , 4.96 
電力及燃氣供應業, 106 , 100.00 , 60.16 , 39.84 , 25.05 , 14.79 , 4.68 , 2.50 
用水供應及污染整治業, 95 , 100.00 , 70.03 , 29.97 , 15.06 , 14.91 , 4.43 , 2.36 
營造業, 119 , 100.00 , 52.68 , 47.32 , 31.59 , 15.73 , 5.13 , 3.43 
服務業," 2,651 ", 100.00 , 56.82 , 43.18 , 20.89 , 22.29 , 4.94 , 2.20 
批發及零售業, 771 , 100.00 , 63.42 , 36.58 , 18.83 , 17.75 , 5.16 , 2.29 
運輸及倉儲業, 126 , 100.00 , 51.57 , 48.43 , 33.16 , 15.27 , 4.67 , 3.09 
住宿及餐飲業, 184 , 100.00 , 60.96 , 39.04 , 21.55 , 17.49 , 3.96 , 1.95 
資訊及通訊傳播業, 163 , 100.00 , 42.60 , 57.40 , 20.09 , 37.30 , 5.69 , 1.73 
金融及保險業, 204 , 100.00 , 51.14 , 48.86 , 28.90 , 19.96 , 4.55 , 2.10 
不動產業, 99 , 100.00 , 61.90 , 38.10 , 15.41 , 22.69 , 5.02 , 1.74 
專業、科學及技術服務業, 212 , 100.00 , 37.87 , 62.13 , 29.18 , 32.95 , 5.88 , 2.77 
支援服務業, 150 , 100.00 , 61.14 , 38.86 , 17.26 , 21.59 , 5.00 , 2.87 
公共行政及國防;強制性社會安全, 145 , 100.00 , 51.17 , 48.83 , 27.72 , 21.11 , 4.95 , 2.75 
教育服務業, 153 , 100.00 , 45.16 , 54.84 , 14.08 , 40.76 , 4.62 , 1.33 
醫療保健及社會工作服務業, 258 , 100.00 , 49.07 , 50.93 , 20.52 , 30.41 , 4.25 , 1.63 
藝術、娛樂及休閒服務業, 71 , 100.00 , 62.29 , 37.71 , 18.57 , 19.13 , 4.00 , 1.80 
其他服務業, 115 , 100.00 , 66.53 , 33.47 , 17.77 , 15.70 , 5.46 , 2.43 
職業,,,,,,,,
民意代表、主管及經理人員, 35 , 100.00 , 62.06 , 37.94 , 13.32 , 24.62 , 5.44 , 2.00 
專業人員, 664 , 100.00 , 32.44 , 67.56 , 28.18 , 39.38 , 5.80 , 2.33 
技術員及助理專業人員, 879 , 100.00 , 44.31 , 55.69 , 33.37 , 22.32 , 5.70 , 3.59 
事務支援人員," 1,170 ", 100.00 , 63.92 , 36.08 , 18.38 , 17.70 , 4.09 , 1.98 
服務及銷售工作人員, 659 , 100.00 , 63.34 , 36.66 , 19.99 , 16.67 , 5.26 , 2.38 
農林漁牧業生產人員, 25 , 100.00 , 83.21 , 16.79 , 12.22 , 4.57 , 6.69 , 6.23 
技藝有關工作人員, 176 , 100.00 , 53.72 , 46.28 , 42.79 , 3.49 , 7.04 , 6.04 
機械設備操作及組裝人員, 205 , 100.00 , 51.59 , 48.41 , 42.92 , 5.50 , 7.10 , 6.42 
基層技術工及勞力工, 251 , 100.00 , 65.78 , 34.22 , 30.72 , 3.50 , 6.10 , 5.76 
說明：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,
"表10 青年勞工加班情形（續完）
 ",,,,,,,,
,,, 中華民國101年10月 ,,,,, 單位：人，％，天，小時 
項目別,樣本數,合計,"沒有
加班",有加班,,,,
,,,,計,"有加
班費","沒有
加班費","平均每週
加班時數",平均每週領取加班費時數
總計," 4,064 ", 100.00 , 53.47 , 46.53 , 26.89 , 19.64 , 5.53 , 3.19 
工作地區,,,,,,,,
北部地區," 1,748 ", 100.00 , 51.66 , 48.34 , 25.05 , 23.30 , 5.58 , 2.89 
中部地區," 1,041 ", 100.00 , 53.49 , 46.51 , 32.17 , 14.34 , 5.59 , 4.02 
南部地區, 938 , 100.00 , 58.24 , 41.76 , 27.28 , 14.49 , 5.35 , 3.28 
東部地區, 337 , 100.00 , 66.70 , 33.30 , 15.70 , 17.61 , 4.14 , 1.91 
規模,,,,,,,,
29人以下," 1,297 ", 100.00 , 63.31 , 36.69 , 21.12 , 15.57 , 4.65 , 2.63 
30-49人, 529 , 100.00 , 54.77 , 45.23 , 26.13 , 19.10 , 4.78 , 2.57 
50-199人, 861 , 100.00 , 49.34 , 50.66 , 30.16 , 20.51 , 5.30 , 3.42 
200-499人, 586 , 100.00 , 47.41 , 52.59 , 29.65 , 22.94 , 5.73 , 3.56 
500人以上, 791 , 100.00 , 45.47 , 54.53 , 31.35 , 23.18 , 6.51 , 3.54 
總工作年資,,,,,,,,
未滿1年, 467 , 100.00 , 61.31 , 38.69 , 20.10 , 18.59 , 4.43 , 1.77 
1年-未滿3年," 1,282 ", 100.00 , 56.26 , 43.74 , 23.53 , 20.21 , 5.50 , 2.98 
3年-未滿6年," 1,366 ", 100.00 , 46.07 , 53.93 , 31.82 , 22.11 , 5.57 , 3.28 
6年-未滿10年, 773 , 100.00 , 53.16 , 46.84 , 31.25 , 15.60 , 6.12 , 4.23 
10年及以上, 176 , 100.00 , 51.10 , 48.90 , 32.45 , 16.44 , 7.18 , 5.11 
每月收入,,,,,,,,
"未滿18,780元", 184 , 100.00 , 83.62 , 16.38 , 10.29 , 6.09 , 6.16 , 2.03 
"18,780元-未滿2萬元", 294 , 100.00 , 72.37 , 27.63 , 17.79 , 9.84 , 4.12 , 2.92 
2萬-未滿2.5萬元, 960 , 100.00 , 63.35 , 36.65 , 25.45 , 11.21 , 4.75 , 3.40 
