表31、青年勞工畢業前是否事先規劃,,,,,,,─按性別、年齡、教育程度、工作年資別分,,,,,,,,,
,,,,,中華民國,,97年10月,,,,,,,,單位：人，%,
項    目    別,樣 本 數,合    計,否,是,,,,,,,,,,,,
,,,,,透過何種,,方式輔導,,,,對初次尋職是否有幫助,,,,,
,,,,,"公立就業
服務機構",,"私立就業
服務機構","學校輔導室
或相關系所",自我規劃,其他,計,,是,,否,
總                                 計," 4,012 ", 100.00 , 52.19 , 47.81 , 5.04 ,, 4.75 , 6.77 , 37.45 , 1.90 , 47.81 ,(100.00), 35.59 ,(74.43), 12.22 ,(25.57)
  性別,,,,,,,,,,,,,,,,
  男性," 1,995 ", 100.00 , 53.15 , 46.85 , 5.58 ,, 5.48 , 4.33 , 37.12 , 1.80 , 46.85 ,(100.00), 35.05 ,(74.81), 11.80 ,(25.19)
  女性," 2,017 ", 100.00 , 51.24 , 48.76 , 4.51 ,, 4.02 , 9.18 , 37.78 , 1.99 , 48.76 ,(100.00), 36.12 ,(74.08), 12.64 ,(25.92)
  年齡別    ,,,,,,,,,,,,,,,,
  15~19歲, 322 , 100.00 , 60.41 , 39.59 , 4.35 ,, 2.09 , 8.60 , 28.80 , 2.11 , 39.59 ,(100.00), 27.35 ,(69.09), 12.23 ,(30.91)
  20~24歲," 1,267 ", 100.00 , 53.75 , 46.25 , 5.76 ,, 4.31 , 8.60 , 34.74 , 1.83 , 46.25 ,(100.00), 34.43 ,(74.44), 11.82 ,(25.56)
  25~29歲," 2,423 ", 100.00 , 50.28 , 49.72 , 4.75 ,, 5.33 , 5.57 , 40.02 , 1.91 , 49.72 ,(100.00), 37.29 ,(74.99), 12.43 ,(25.01)
  教育程度別,,,,,,,,,,,,,,,,
  國中及以下, 244 , 100.00 , 74.13 , 25.87 , 1.43 ,, 1.31 , 4.12 , 19.11 , 0.69 , 25.87 ,(100.00), 14.59 ,(56.42), 11.27 ,(43.58)
  高中(職)," 1,276 ", 100.00 , 61.13 , 38.87 , 5.84 ,, 3.07 , 4.94 , 28.59 , 2.59 , 38.87 ,(100.00), 27.12 ,(69.78), 11.75 ,(30.22)
  專科, 643 , 100.00 , 54.79 , 45.21 , 5.32 ,, 4.41 , 7.70 , 34.05 , 0.59 , 45.21 ,(100.00), 30.86 ,(68.26), 14.35 ,(31.74)
  大學," 1,627 ", 100.00 , 44.22 , 55.78 , 5.32 ,, 5.82 , 7.78 , 45.39 , 1.80 , 55.78 ,(100.00), 43.16 ,(77.38), 12.62 ,(22.62)
  碩士及以上, 222 , 100.00 , 27.59 , 72.41 , 1.58 ,, 11.23 , 10.20 , 60.21 , 3.77 , 72.41 ,(100.00), 65.45 ,(90.39), 6.96 ,(9.61)
 專科以上科系別,,,,,,,,,,,,,,,,
  理、工、醫、農, 903 , 100.00 , 43.53 , 56.47 , 5.78 ,, 9.10 , 7.86 , 43.95 , 1.90 , 56.47 ,(100.00), 43.95 ,(77.84), 12.51 ,(22.16)
  商、管、教育、法、文," 1,377 ", 100.00 , 46.55 , 53.45 , 5.01 ,, 4.39 , 8.85 , 43.22 , 1.55 , 53.45 ,(100.00), 40.55 ,(75.87), 12.90 ,(24.13)
  傳播、藝術, 118 , 100.00 , 33.92 , 66.08 , 3.36 ,, 3.29 , 3.03 , 58.18 , 3.06 , 66.08 ,(100.00), 51.22 ,(77.51), 14.86 ,(22.49)
  其他, 158 , 100.00 , 50.45 , 49.55 , 3.25 ,, 1.58 , 7.37 , 40.47 , 2.61 , 49.55 ,(100.00), 38.01 ,(76.71), 11.54 ,(23.29)
說明1：規劃方式可複選，故細項合計大於等於合計欄。,,,,,,,,,,,,,,,,
說明2：科系可複選，故細項合計大於專科及以上之合計。,,,,,,,,,,,,,,,,
表32、青年勞工畢業前是否事先規劃,,,,,,,─按工作地區、行業、規模別分,,,,,,,,,
,,,,,中華民國,,97年10月,,,,,,,,單位：人，%,
項    目    別,樣 本 數,合    計,否,是,,,,,,,,,,,,
,,,,,透過何種,,方式輔導,,,,對初次尋職是否有幫助,,,,,
,,,,,"公立就業
服務機構",,"私立就業
服務機構","學校輔導室
或相關系所",自我規劃,其他,計,,是,,否,
總                                 計," 4,012 ", 100.00 , 52.19 , 47.81 , 5.04 ,, 4.75 , 6.77 , 37.45 , 1.90 , 47.81 ,(100.00), 35.59 ,(74.43), 12.22 ,(25.57)
  工作地區別,,,,,,,,,,,,,,,,
  台北市 ," 1,182 ", 100.00 , 45.82 , 54.18 , 4.69 ,, 4.17 , 7.28 , 43.21 , 2.38 , 54.18 ,(100.00), 41.21 ,(76.05), 12.98 ,(23.95)
  高雄市  , 229 , 100.00 , 43.14 , 56.86 , 8.82 ,, 4.70 , 12.68 , 41.73 , 2.25 , 56.86 ,(100.00), 39.01 ,(68.60), 17.85 ,(31.40)
  北    區," 1,287 ", 100.00 , 54.66 , 45.34 , 3.90 ,, 5.91 , 6.26 , 35.18 , 1.81 , 45.34 ,(100.00), 34.09 ,(75.20), 11.24 ,(24.80)
  中    區, 771 , 100.00 , 58.34 , 41.66 , 5.49 ,, 3.90 , 5.97 , 32.49 , 1.75 , 41.66 ,(100.00), 29.63 ,(71.12), 12.03 ,(28.88)
  南    區, 508 , 100.00 , 55.24 , 44.76 , 6.09 ,, 4.36 , 5.47 , 35.78 , 1.19 , 44.76 ,(100.00), 33.86 ,(75.64), 10.90 ,(24.36)
  東    區, 35 , 100.00 , 55.90 , 44.10 , 9.03 ,, 5.92 , 6.54 , 32.50 , 0.28 , 44.10 ,(100.00), 34.54 ,(78.32), 9.56 ,(21.68)
  行業別,,,,,,,,,,,,,,,,
