"表16 青年勞工初次就業年齡
",,,,,,,
,,, 中華民國101年10月 ,,,, 單位：人，％，歲 
項目別,樣本數,合計,15~18歲,19~21歲,22~25歲,26~29歲,平均年齡
,,,,,,,
總計," 4,064 ", 100.00 , 28.07 , 15.21 , 50.03 , 6.69 , 21.23 
性別,,,,,,,
男," 1,679 ", 100.00 , 34.69 , 13.10 , 41.00 , 11.20 , 21.23 
女," 2,385 ", 100.00 , 21.93 , 17.16 , 58.42 , 2.50 , 21.22 
年齡,,,,,,,
15-19歲, 136 , 100.00 , 88.97 , 11.03 , - , - , 17.17 
20-24歲, 962 , 100.00 , 33.82 , 19.68 , 46.50 , - , 20.26 
25-29歲," 2,966 ", 100.00 , 15.13 , 13.47 , 60.03 , 11.37 , 22.40 
教育程度,,,,,,,
國中及以下, 137 , 100.00 , 84.61 , 7.81 , 6.76 , 0.83 , 16.97 
高中（職）," 1,020 ", 100.00 , 64.04 , 27.51 , 7.87 , 0.58 , 18.50 
專科, 285 , 100.00 , 20.30 , 45.13 , 34.22 , 0.35 , 20.65 
大學," 2,313 ", 100.00 , 6.15 , 6.56 , 81.43 , 5.86 , 22.74 
碩士及以上, 309 , 100.00 , 0.62 , 2.73 , 50.93 , 45.72 , 25.28 
專科以上科系,,,,,,,
人文, 535 , 100.00 , 8.04 , 11.38 , 75.13 , 5.44 , 22.40 
社會," 1,286 ", 100.00 , 7.41 , 11.19 , 74.47 , 6.93 , 22.54 
科技," 1,086 ", 100.00 , 5.96 , 8.26 , 70.40 , 15.38 , 23.33 
行業,,,,,,,
農、林、漁、牧業, 68 , 100.00 , 31.94 , 16.85 , 43.97 , 7.24 , 20.91 
工業," 1,345 ", 100.00 , 30.31 , 14.09 , 46.82 , 8.78 , 21.29 
礦業及土石採取業, 40 , 100.00 , 39.03 , 25.83 , 35.14 , - , 20.02 
製造業, 985 , 100.00 , 30.51 , 14.53 , 45.72 , 9.23 , 21.27 
電力及燃氣供應業, 106 , 100.00 , 12.48 , 13.11 , 63.88 , 10.53 , 22.60 
用水供應及污染整治業, 95 , 100.00 , 15.50 , 17.26 , 55.05 , 12.19 , 22.07 
